time_hours,node_id,node_label,activation
0.0,mem::joy,joy,0.3751
0.0,mem::familiar_face,familiar_face,0.3352
0.0,mem::loud_crowd,loud_crowd,0.3302
0.0,mem::bright_light,bright_light,0.3293
0.0,mem::grief,grief,0.3034
0.0,mem::being_chased,being_chased,0.2979
0.0,event::code_review,code review,0.2974
0.0,mem::childhood_home,childhood_home,0.2895
0.0,mem::teeth_loosening,teeth_loosening,0.2622
0.0,mem::being_late,being_late,0.2502
0.0,mem::falling,falling,0.249
0.0,mem::school_corridor,school_corridor,0.2396
0.833333,mem::loud_crowd,loud_crowd,0.3979
0.833333,mem::grief,grief,0.3895
0.833333,mem::being_chased,being_chased,0.3879
0.833333,event::code_review,code review,0.3877
0.833333,mem::childhood_home,childhood_home,0.3854
0.833333,mem::teeth_loosening,teeth_loosening,0.377
0.833333,mem::being_late,being_late,0.3732
0.833333,mem::falling,falling,0.3729
0.833333,mem::school_corridor,school_corridor,0.37
0.833333,event::design_discussion,design discussion,0.3658
0.833333,mem::dread,dread,0.35
0.833333,mem::cold_water,cold_water,0.3293
